system;alpha[kJ/mol];beta[kJ/mol];delta[kJ/mol];C14[kJ/mol]
Mg;21;21;-2.9;21
Al;63;63;55.4333776;63
Sc;-90;-90;-91.11106212;-90
Ti;-58;-58;-64.22922397;-55.84
V;-29.5;-29.5;-31.76229839;-26
Cr;52;52;2.155215595;26.95
Mn;30;30;27.23904888;28.88
Fe;33;33;32.55502708;42
Co;21;21;18.9;21
Ni;16;16;18.5422701;55.6
Cu;55;55;72.07661456;55
Zn;24;24;84.85164447;15
Zr;-64;-64;-74.39187577;-66.38
Nb;-35.3;-35.3;-40.82486595;-20
Mo;15;15;0.788789096;15
Pd;-10;-10;25.61455131;-10
Hf;-38;-38;-51.96748545;-38
Ta;-36;-36;-6.38093932;-26